int32_t,uint8_t,int32_t,uint8_t,uint8_t,int64_t,int32_t,int32_t,int32_t,int32_t,int32_t,int32_t,int32_t,int32_t,int32_t,int32_t,bool,int64_t,int64_t,uint16_t,uint16_t
10002,3,10000,0,0,0,20001,0,0,0,0,0,0,0,0,0,0,100,50,1,0
10003,0,10000,0,0,0,20002,0,0,0,0,0,0,0,0,0,0,100,50,1,0
11001,1,11000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
12001,2,12000,0,0,0,30001,0,0,0,0,0,0,0,0,0,0,100,50,1,0
20001,0,20000,1,0,0,40000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
21001,0,21000,1,0,0,60000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
30001,255,30000,2,0,0,40000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
40002,255,40000,3,0,0,40000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
50001,255,50000,4,0,0,40000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
60001,255,60000,5,0,0,40000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
70001,255,70000,6,0,0,40000,0,0,0,0,0,0,0,0,0,0,100,50,1,0
80001,255,80000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,5,1,0
