22:09:19	[LOG_INFO]	[DBConfig.csv is loading...]
22:09:19	[LOG_INFO]	string,string
22:09:19	[LOG_INFO]	World,112.145.214.226
22:09:19	[LOG_INFO]	Account,112.145.214.226
22:09:19	[LOG_INFO]	Game,112.145.214.226
22:09:19	[LOG_INFO]	[DBConfig.csv is loaded...]
22:09:19	[LOG_INFO]	[ServerConfig.csv is loading...]
22:09:19	[LOG_INFO]	string,int32_t,int32_t
22:09:19	[LOG_INFO]	Login,1,1000
22:09:19	[LOG_INFO]	[ServerConfig.csv is loaded...]
22:09:19	[LOG_CONNECT]	WorldDB is Connected
22:09:19	[LOG_DEBUG]	[Server Type]: Login
22:09:19	[LOG_DEBUG]	[GroupID]: 0
22:09:19	[LOG_DEBUG]	[WorldID]: 1
22:09:19	[LOG_DEBUG]	[ServerID]: 1000
22:09:19	[LOG_INFO]	[Data/CharacterCreateStat.csv is loading...]
22:09:19	[LOG_INFO]	int32_t,int32_t,int32_t
22:09:19	[LOG_INFO]	10 ,0 ,0 
22:09:19	[LOG_INFO]	2 ,8 ,0 
22:09:19	[LOG_INFO]	0 ,0 ,10 
22:09:19	[LOG_INFO]	0 ,10 ,0 
22:09:19	[LOG_INFO]	[Data/CharacterCreateStat.csv is loaded...]
22:09:19	[LOG_INFO]	[Data/CharacterCreateGear.csv is loading...]
22:09:19	[LOG_INFO]	uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t
22:09:19	[LOG_INFO]	1 ,2 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
22:09:19	[LOG_INFO]	0 ,1 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
22:09:19	[LOG_INFO]	0 ,0 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
22:09:19	[LOG_INFO]	1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
22:09:19	[LOG_INFO]	[Data/CharacterCreateGear.csv is loaded...]
22:09:19	[LOG_INFO]	[Data/CharacterAbilityByStat.csv is loading...]
22:09:19	[LOG_INFO]	uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t
22:09:19	[LOG_INFO]	8 ,2 ,10 ,0 ,7 ,3 
22:09:19	[LOG_INFO]	5 ,5 ,8 ,2 ,6 ,4 
22:09:19	[LOG_INFO]	3 ,7 ,0 ,10 ,3 ,7 
22:09:19	[LOG_INFO]	[Data/CharacterAbilityByStat.csv is loaded...]
22:09:19	[LOG_DEBUG]	Server is Running...
22:09:19	[LOG_DEBUG]	[Thread Num]: 41
22:09:19	[LOG_DEBUG]	[Port]: 7000
22:40:51	[LOG_CONNECT]	oid(0)	[ip]: 127.0.0.1
22:40:51	[LOG_CONNECT]	AccountDB is Connected
22:40:51	[LOG_CONNECT]	GameDB is Connected
22:40:52	[LOG_DISCONNECT]	oid(0)	
22:41:02	[LOG_CONNECT]	oid(1)	[ip]: 127.0.0.1
22:41:03	[LOG_DISCONNECT]	oid(1)	
22:41:51	[LOG_CONNECT]	oid(2)	[ip]: 127.0.0.1
22:41:52	[LOG_DISCONNECT]	oid(2)	
22:49:53	[LOG_CONNECT]	oid(3)	[ip]: 127.0.0.1
22:49:55	[LOG_DISCONNECT]	oid(3)	
22:50:40	[LOG_CONNECT]	oid(4)	[ip]: 127.0.0.1
22:50:42	[LOG_DISCONNECT]	oid(4)	
22:53:24	[LOG_CONNECT]	oid(5)	[ip]: 127.0.0.1
22:53:26	[LOG_DISCONNECT]	oid(5)	
22:54:31	[LOG_CONNECT]	oid(6)	[ip]: 127.0.0.1
22:54:32	[LOG_DISCONNECT]	oid(6)	
22:54:49	[LOG_CONNECT]	oid(7)	[ip]: 127.0.0.1
22:54:51	[LOG_DISCONNECT]	oid(7)	
22:56:35	[LOG_CONNECT]	oid(8)	[ip]: 127.0.0.1
22:56:36	[LOG_DISCONNECT]	oid(8)	
22:57:27	[LOG_CONNECT]	oid(9)	[ip]: 127.0.0.1
22:57:28	[LOG_DISCONNECT]	oid(9)	
23:13:21	[LOG_CONNECT]	oid(10)	[ip]: 127.0.0.1
23:13:23	[LOG_DISCONNECT]	oid(10)	
23:14:36	[LOG_CONNECT]	oid(11)	[ip]: 127.0.0.1
23:14:37	[LOG_DISCONNECT]	oid(11)	
23:15:04	[LOG_CONNECT]	oid(12)	[ip]: 127.0.0.1
23:15:06	[LOG_DISCONNECT]	oid(12)	
23:16:31	[LOG_CONNECT]	oid(13)	[ip]: 127.0.0.1
23:16:32	[LOG_DISCONNECT]	oid(13)	
23:17:44	[LOG_CONNECT]	oid(14)	[ip]: 127.0.0.1
23:17:46	[LOG_DISCONNECT]	oid(14)	
23:18:22	[LOG_CONNECT]	oid(15)	[ip]: 127.0.0.1
23:18:23	[LOG_DISCONNECT]	oid(15)	
23:19:05	[LOG_CONNECT]	oid(16)	[ip]: 127.0.0.1
23:19:08	[LOG_DISCONNECT]	oid(16)	
23:23:04	[LOG_CONNECT]	oid(17)	[ip]: 127.0.0.1
23:23:06	[LOG_DISCONNECT]	oid(17)	
23:26:36	[LOG_CONNECT]	oid(18)	[ip]: 127.0.0.1
23:26:37	[LOG_DISCONNECT]	oid(18)	
23:27:17	[LOG_CONNECT]	oid(19)	[ip]: 127.0.0.1
23:27:19	[LOG_DISCONNECT]	oid(19)	
